,iter,score,optimization
662,11,0.299331,max
663,11,-0.37984878,max
664,11,-2.8081644,max
665,11,-1.2602317,max
666,11,-0.9470937,max
667,11,-1.9767357,max
668,11,0.17883942,max
669,11,-1.7285887,max
670,11,-1.9589423,max
671,11,-1.6562939,max
672,11,-0.83871764,max
673,11,-0.7466295,max
674,11,-1.390563,max
675,11,-2.068416,max
676,11,-0.85579807,max
677,11,0.79608357,max
678,11,-2.7174928,max
679,11,0.7495867,max
680,11,-2.523042,max
681,11,-2.724059,max
682,11,0.5911549,max
683,11,-0.6674057,max
684,11,-1.6162945,max
685,11,0.13135788,max
686,11,-1.6298728,max
687,11,-1.3032266,max
688,11,-1.3788636,max
689,11,-2.1700296,max
690,11,-0.035741925,max
691,11,-1.3247073,max
692,11,-1.8823663,max
693,11,-0.9243103,max
694,11,-1.4611248,max
695,11,-1.0040152,max
696,11,-0.3451252,max
697,11,0.20198014,max
698,11,-0.97578144,max
699,11,-1.5947154,max
700,11,-2.300817,max
701,11,-1.8732367,max
702,11,-1.5391129,max
703,11,-1.278276,max
704,12,-1.5950712,max
705,12,-1.6885815,max
706,12,-2.1480842,max
707,12,-1.5612744,max
708,12,-0.8739352,max
709,12,-1.0827193,max
710,12,-2.742835,max
711,12,-0.9258631,max
712,12,-0.952282,max
713,12,-3.2185903,max
714,12,-2.3476057,max
715,12,-0.16829437,max
716,12,-1.7961031,max
717,12,-1.0456719,max
718,12,-1.6765876,max
719,12,-2.5375025,max
720,12,-2.713571,max
721,12,-2.093894,max
722,12,0.15696892,max
723,12,-0.98664397,max
724,12,-1.7927153,max
725,12,-2.5285933,max
726,12,0.5049049,max
727,12,-0.36446196,max
728,12,-2.7577949,max
729,12,-1.2050045,max
730,12,-0.8965675,max
731,12,-1.9648759,max
732,12,0.30046225,max
733,12,-1.6494302,max
734,12,-2.098751,max
735,12,-1.6142468,max
736,12,-0.81552655,max
737,12,-0.77976704,max
738,12,-1.4082191,max
739,12,-2.0672102,max
740,12,-0.8579817,max
741,12,0.84825194,max
742,12,-2.6805232,max
743,12,0.8172914,max
744,12,-2.4658647,max
745,12,-2.99008,max
746,12,0.45491272,max
747,12,-0.5895235,max
748,12,-1.6382955,max
749,12,0.17268738,max
750,12,-1.6297946,max
751,12,-1.3022053,max
752,12,-1.3161433,max
753,12,-2.1784282,max
754,12,9.530783e-05,max
755,12,-1.449088,max
756,12,-1.8562198,max
757,12,-0.86267143,max
758,12,-1.4027369,max
759,12,-0.913378,max
760,12,-0.31618854,max
761,12,0.18395609,max
762,12,-0.9635239,max
763,12,-1.5703253,max
764,12,-2.309396,max
765,12,-1.873424,max
766,12,-1.4663718,max
767,12,-1.2290368,max
768,13,-1.5717933,max
769,13,-1.6381117,max
770,13,-2.126008,max
771,13,-1.5186203,max
772,13,-0.8305429,max
773,13,-1.0384176,max
774,13,-2.7710888,max
775,13,-0.95586973,max
776,13,-0.8496071,max
777,13,-3.19519,max
778,13,-2.1671371,max
779,13,-0.16721284,max
780,13,-1.7098943,max
781,13,-0.95981187,max
782,13,-1.6587481,max
783,13,-2.492167,max
784,13,-2.7714298,max
785,13,-2.0968409,max
786,13,0.22916985,max
787,13,-0.8814247,max
788,13,-1.797321,max
789,13,-2.5163736,max
790,13,0.5681622,max
791,13,-0.36508474,max
792,13,-2.8638892,max
793,13,-1.1717616,max
794,13,-0.86075896,max
795,13,-1.9555881,max
796,13,0.3191659,max
797,13,-1.5297712,max
798,13,-1.8832126,max
799,13,-1.5813688,max
800,13,-0.818435,max
801,13,-0.71097887,max
802,13,-1.3894353,max
803,13,-2.0377707,max
804,13,-0.851636,max
805,13,0.86574364,max
806,13,-2.7113295,max
807,13,0.8843193,max
808,13,-2.4423177,max
809,13,-2.7657309,max
810,13,0.5840902,max
811,13,-0.51826125,max
812,13,-1.4421989,max
813,13,0.217951,max
814,13,-1.3792771,max
815,13,-1.3013196,max
816,13,-1.1659787,max
817,13,-2.1424706,max
818,13,0.032298744,max
819,13,-1.2340772,max
820,13,-1.8393663,max
821,13,-0.8815351,max
822,13,-1.321644,max
823,13,-0.865541,max
824,13,-0.28700602,max
825,13,0.18085936,max
826,13,-0.96348614,max
827,13,-1.5435995,max
828,13,-2.2761536,max
829,13,-1.8754632,max
830,13,-1.401231,max
831,13,-1.2327777,max
832,14,-1.5466982,max
833,14,-1.568814,max
834,14,-2.1889234,max
835,14,-1.4704349,max
836,14,-0.78160876,max
837,14,-1.0307033,max
838,14,-2.759801,max
839,14,-0.93561476,max
840,14,-0.7392591,max
841,14,-3.1733527,max
842,14,-2.199496,max
843,14,-0.16938885,max
844,14,-1.6993855,max
845,14,-0.9099738,max
846,14,-1.699787,max
847,14,-2.5653906,max
848,14,-2.8410244,max
849,14,-2.1054049,max
850,14,0.23264319,max
851,14,-0.5610037,max
852,14,-1.7927417,max
853,14,-2.6673932,max
854,14,0.5925711,max
855,14,-0.36305967,max
856,14,-2.8639119,max
857,14,-1.129174,max
858,14,-0.8439926,max
859,14,-1.994056,max
860,14,0.3138805,max
861,14,-1.3725168,max
862,14,-1.9317383,max
863,14,-1.4860638,max
864,14,-0.8054496,max
865,14,-0.67741144,max
866,14,-1.3908039,max
867,14,-2.0407426,max
868,14,-0.8119427,max
869,14,0.9089968,max
870,14,-2.5999248,max
871,14,0.67606944,max
872,14,-2.5163953,max
873,14,-2.7644575,max
874,14,0.5828628,max
875,14,-0.46426463,max
876,14,-1.4025849,max
877,14,0.2805975,max
878,14,-1.3669096,max
879,14,-1.2995299,max
880,14,-1.1829814,max
881,14,-2.1466777,max
882,14,0.054473102,max
883,14,-1.1528544,max
884,14,-1.8707694,max
885,14,-0.8832246,max
886,14,-1.2550035,max
887,14,-0.8408441,max
888,14,-0.26293033,max
889,14,0.18646878,max
890,14,-0.96353835,max
891,14,-1.517076,max
892,14,-2.2236738,max
893,14,-1.935594,max
894,14,-1.3910106,max
895,14,-1.1628001,max
896,15,-1.518526,max
897,15,-1.5061982,max
898,15,-2.1692472,max
899,15,-1.4353142,max
900,15,-0.74219465,max
901,15,-1.0276189,max
902,15,-2.791016,max
903,15,-0.95475084,max
904,15,-0.6340588,max
905,15,-3.17291,max
906,15,-2.1997216,max
907,15,-0.16724774,max
908,15,-1.5838324,max
909,15,-0.8948751,max
910,15,-1.4413737,max
911,15,-2.4236474,max
912,15,-2.8249683,max
913,15,-2.0910594,max
914,15,0.28765863,max
915,15,-0.56030893,max
916,15,-1.8035498,max
917,15,-2.6316092,max
918,15,0.6474473,max
919,15,-0.48611632,max
920,15,-2.8639119,max
921,15,-1.0940242,max
922,15,-0.8329943,max
923,15,-2.0557728,max
924,15,0.3372057,max
925,15,-1.3084711,max
926,15,-1.9408947,max
927,15,-1.2352176,max
928,15,-0.8003419,max
929,15,-0.66708577,max
930,15,-1.3993136,max
931,15,-2.094648,max
932,15,-0.6378634,max
933,15,0.9531555,max
934,15,-2.6106212,max
935,15,0.67747885,max
936,15,-2.308284,max
937,15,-2.6742132,max
938,15,0.585021,max
939,15,-0.41731063,max
940,15,-1.4231616,max
941,15,1.0343337,max
942,15,-1.3172886,max
943,15,-1.2981861,max
944,15,-1.1491241,max
945,15,-1.9523624,max
946,15,0.07605988,max
947,15,-1.1540883,max
948,15,-1.9849952,max
949,15,-0.8017274,max
950,15,-1.1604803,max
951,15,-0.82168955,max
952,15,-0.23756503,max
953,15,0.18708205,max
954,15,-1.0858147,max
955,15,-1.4906979,max
956,15,-2.0382428,max
957,15,-1.9355348,max
958,15,-1.3624758,max
959,15,-1.143637,max
960,16,-1.4890937,max
961,16,-1.441613,max
962,16,-2.1658723,max
963,16,-1.4049568,max
